Dataset,Noise Type,Severity,Metric,Value
coco_2017_val,gaussian_noise,1,AP,36.942887001552585
coco_2017_val,gaussian_noise,1,AP50,54.627405284400766
coco_2017_val,gaussian_noise,1,AP75,39.512990793955055
coco_2017_val,gaussian_noise,1,APs,21.27191751281481
coco_2017_val,gaussian_noise,1,APm,39.87524709344319
coco_2017_val,gaussian_noise,1,APl,48.36293084271194
coco_2017_val,gaussian_noise,2,AP,32.906972800137524
coco_2017_val,gaussian_noise,2,AP50,49.68041956127854
coco_2017_val,gaussian_noise,2,AP75,34.82067767794535
coco_2017_val,gaussian_noise,2,APs,17.807252126836445
coco_2017_val,gaussian_noise,2,APm,35.16863385054075
coco_2017_val,gaussian_noise,2,APl,44.66770272728129
coco_2017_val,gaussian_noise,3,AP,26.84818795387624
coco_2017_val,gaussian_noise,3,AP50,41.466115316722444
coco_2017_val,gaussian_noise,3,AP75,28.271831057066443
coco_2017_val,gaussian_noise,3,APs,13.14678442329755
coco_2017_val,gaussian_noise,3,APm,28.726982499578863
coco_2017_val,gaussian_noise,3,APl,37.87835042856052
coco_2017_val,gaussian_noise,4,AP,20.10469686372237
coco_2017_val,gaussian_noise,4,AP50,31.94377169784182
coco_2017_val,gaussian_noise,4,AP75,20.9678449134098
coco_2017_val,gaussian_noise,4,APs,8.412220772960898
coco_2017_val,gaussian_noise,4,APm,22.26974733584851
coco_2017_val,gaussian_noise,4,APl,29.31893109607425
coco_2017_val,gaussian_noise,5,AP,12.425462163169367
coco_2017_val,gaussian_noise,5,AP50,20.596213648359456
coco_2017_val,gaussian_noise,5,AP75,12.620175922988233
coco_2017_val,gaussian_noise,5,APs,4.113191236568321
coco_2017_val,gaussian_noise,5,APm,14.080217862664973
coco_2017_val,gaussian_noise,5,APl,19.03857742651879
